date,ETH,XMR,DASH,LTC,XRP,ETC,STR,SC,XEM,BTC
2015-01-01,,0.449231431036199,1.9786779246465973,2.7110907954279826,0.02400787645926336,,0.00547375782050496,,,316.7683923903333
2015-01-02,,0.45599375100449996,1.9742918914249614,2.6854179355382324,0.024511243042222502,,0.0055357136115712505,,,315.785146125
2015-01-03,,0.4739594541930579,1.8182375618479552,2.3896699554353487,0.022296844432724297,,0.0051166659908496465,,,301.5124331673333
2015-01-04,,0.4247686953792298,1.7054251854404372,2.079495797731781,0.018998637620424804,,0.004521376911123526,,,276.7060533123333
2015-01-05,,0.4139432434332353,1.6506104777580355,2.076988178408139,0.02005076561682065,,0.004869665320866787,,,271.1394944803333
2015-01-06,,0.44042844873821946,1.6676794825929095,2.091707395037122,0.0203498293146372,,0.004928388581995021,,,274.25645976600003
2015-01-07,,0.462844871293296,1.7422342703933194,2.1834238809504583,0.02095660924433054,,0.005163562916483739,,,293.55104698599996
2015-01-08,,0.447558363597741,1.7300264783294137,2.099834072792835,0.02087136454933314,,0.00556337430112998,,,290.3640031905
2015-01-09,,0.428847766462174,1.7474070852075887,2.0511405778951626,0.021351793462897853,,0.005791652093994567,,,291.7708863473333
2015-01-10,,0.40360422015833525,1.7113409931954606,1.8019652785689844,0.02009447120739036,,0.005455141839093321,,,282.503461372
2015-01-11,,0.3862421499617441,1.6470919693611925,1.7774316396001983,0.018608327530480338,,0.005094233105283101,,,271.2584188116667
2015-01-12,,0.38072327508915527,1.6746301991150847,1.7965539390283893,0.018903886053096987,,0.005038102887587094,,,275.0056161346667
2015-01-13,,0.31823349820164987,1.4408589207437432,1.5673680025541548,0.0154637472244017,,0.0043099571130798,,,236.810830389
2015-01-14,,0.25378770931081107,1.1791385177874858,1.3627791265779345,0.014416843420754001,,0.004222522815144833,,,195.66834175833333
2015-01-15,,0.25082486684391725,1.2730590729362046,1.3465186919580494,0.01669707263148972,,0.005000371139952,,,208.34879749799998
2015-01-16,,0.26694713768751466,1.3038476779438457,1.4231226919025626,0.016485386883861083,,0.0046641274529760106,,,210.38012868633334
2015-01-17,,0.2505928390756391,1.174390224287681,1.356784063557614,0.015444195082969785,,0.004560096536503084,,,200.44380380233335
2015-01-18,,0.2480457012320258,1.3013247362486822,1.3429254725277748,0.01565219835493242,,0.0048775447225865,,,209.78686978866665
2015-01-19,,0.24586631129636377,1.3267465320525778,1.3368446580215447,0.015883290301837605,,0.005049062984483468,,,211.52337597333334
2015-01-20,,0.241681497952084,1.4095983156561147,1.3663501149486712,0.016368161173116416,,0.004851800217438417,,,213.26594362366666
2015-01-21,,0.24289217288722473,1.5471424993395861,1.361731008545185,0.016765379496203103,,0.0049962477537147006,,,216.662955495
2015-01-22,,0.27464286744107735,1.648366276083752,1.4522611670644219,0.017092601345983973,,0.005111827934792626,,,234.59513239066666
2015-01-23,,0.2710359740880057,1.6176725860868066,1.436409143908737,0.01666734372499767,,0.004828596869059351,,,231.587379811
2015-01-24,,0.2927392742071512,1.6777226160273249,1.7473925547858877,0.016712577478362148,,0.0049560770710786505,,,241.40657920499999
2015-01-25,,0.31233740316186537,1.7772003487556343,2.187071503810122,0.016525087783195717,,0.0048303333864989145,,,249.88791445933336
2015-01-26,,0.33284349644580713,1.9409315362658377,2.286461727723798,0.01626948549665493,,0.0047017061247714145,,,282.5544546136667
2015-01-27,,0.30531861359697443,1.7144366670549465,2.0013239732694266,0.015417382904853907,,0.004266366338332407,,,252.00037438466666
2015-01-28,,0.3192525251860399,1.7886053556907824,2.0745803235823836,0.015713109221313394,,0.004328409550185721,,,258.56687874466667
2015-01-29,,0.3044780837174346,1.6219020163484033,1.9287424763105154,0.01482087626231086,,0.00414583024757664,,,233.436387814
2015-01-30,,0.29857287371076835,1.5876436150617723,1.916548434601418,0.014343693542288101,,0.004249983271789067,,,230.97735172766667
2015-01-31,,0.2966937491837473,1.662746072987485,1.9612429939611136,0.014484794428730035,,0.0041205560673714505,,,228.53888338166666
2015-02-01,,0.28944966508278547,1.7305664992008876,1.8283987814575366,0.014197151253927034,,0.003912496426432147,,,220.79550939233332
2015-02-02,,0.29204065778393307,1.86614003173527,1.8125028953545481,0.013675481862427353,,0.00378846264459558,,,228.495937551
2015-02-03,,0.29459850229778356,1.8433750851347108,1.8811700467358197,0.013213912215484947,,0.00382140374767832,,,236.76603145466666
2015-02-04,,0.28271501537558474,1.8132593923071312,1.8010494549291636,0.01358067136297093,,0.003696005497517405,,,226.19372689825
2015-02-05,,0.2749620640102821,1.746411091372786,1.7895578370508607,0.014442939323018053,,0.00370506143933437,,,219.36420599966664
2015-02-06,,0.2677219477006897,1.7594704654065991,1.8048132324330264,0.015140579487972866,,0.003944184572497133,,,219.3651041433333
2015-02-07,,0.2707606625797088,1.8182742893837616,1.7963050824654783,0.014302974223368346,,0.003792744144851164,,,224.29001447966667
2015-02-08,,0.2638903155021505,1.7569410135345391,1.7838803097441294,0.0142255920463475,,0.0037317055430842495,,,223.32169617499997
2015-02-09,,0.2531791723416872,2.1169104929236284,1.7499426081292035,0.013809852798011389,,0.0036410984187895345,,,219.34327824033335
2015-02-10,,0.24293036367530568,2.280619521979489,1.737165678106925,0.0134587760489772,,0.0035599931473123203,,,217.603493112
2015-02-11,,0.23724722045702168,3.113569176068966,1.7442755634433884,0.01352993851506125,,0.0034693831674587504,,,218.6126759583333
2015-02-12,,0.2415220851975514,3.0834724147764496,1.7700960812100146,0.014070906572318093,,0.003432848520324254,,,221.90358890266666
